ID,Prediction
1,0.1520621671624832
2,0.01324270200757418
3,0.14817551662441117
4,0.13942317519729758
5,0.047327482479533556
6,0.025401353245206267
7,0.0040514054617612075
8,0.5163094098255493
9,0.09285779657087889
10,0.6925795911744305
11,0.003148363899093988
12,0.07252691773414606
13,0.2260803174067973
14,0.9304845768167748
15,0.003658622980848637
16,0.011174810453887836
17,0.07555269472622819
18,0.9032265355941448
19,0.7629976068161017
20,0.11145508812108645
21,0.005311126479943977
22,0.18913067821922452
23,0.9992436440394741
24,0.812595389248273
25,0.03170476504146001
26,0.3819863168190401
27,0.0012354008775192658
28,0.0329087835475373
29,0.008001932549489438
30,0.3096288604449021
31,0.007049240805323979
32,0.0519011816347099
33,0.0014424489950054396
34,0.0019171463263060811
35,0.2355346917984632
36,0.053809630529099296
37,0.0008304613904832262
38,0.20537920048188152
39,0.23511902554886802
40,0.7952066828036033
41,0.915934014557203
42,0.009103405710432772
43,0.9984736935666333
44,0.2247873718451784
45,0.001986024896472783
46,0.0005680026843146659
47,0.001360701430394886
48,0.5120568152787012
49,0.02602463186975307
50,0.1289848289937635
51,0.0002203132615574737
52,0.03355614909062857
53,0.537616137359933
54,0.40637876078264656
55,0.9917321554907924
56,0.27308890747015085
57,0.026542714564970087
58,0.22670887192140451
59,0.5142032092867158
60,0.519072172307099
61,0.0021619108112210976
62,0.8566740460906196
63,0.025930944182768558
64,0.0016615606904860647
65,0.003474200641302749
66,0.02415540883121368
67,0.9988977666386838
68,0.1558076028096329
69,0.00520462669683197
70,0.011456032601726491
71,0.003976516756328492
72,0.4901598149091438
73,0.001441033842879251
74,0.03175677611586392
75,0.5315978819050196
76,0.005929453625665642
77,0.0002714877449926368
78,0.059099476632714414
79,0.5840664944359036
80,0.0033127751815496664
81,0.18120091219463286
82,0.030581533489046797
83,0.014645765111945899
84,0.0020066915815078017
85,0.0016794929899086055
86,0.9893177119162484
87,0.031889425603143076
88,0.002601870054731124
89,0.17502923054704478
90,0.7707248163587235
91,0.8085437521124437
92,0.8124929229765282
93,0.005662783508482004
94,0.02523679636481876
95,0.20764872621502406
96,0.764341460188175
97,0.002184258969126921
98,0.0010517479641444895
99,0.18400226916090187
100,0.11427615100652669
101,0.8477954652809648
102,0.06120271817344181
103,0.017508208757956178
104,0.4031329879904336
105,0.8554592444893175
106,0.016069405264240083
107,0.003499948455261976
108,0.014969764734870742
109,0.5269243200065366
110,0.08063005728345117
111,0.016420304362382912
112,0.003901001025793072
